page,cold_dcl,cold_fcp,cold_lcp,warm_dcl,warm_fcp,warm_lcp,jsKB,imgKB,totalKB,apiCalls,cls
/,225,248,928,130,172,636,921,2,1842,8,0
/dashboard,312,352,1168,121,168,708,695,66,1639,10,0
/my-tasks,224,248,672,141,184,872,827,66,1680,7,1.727
/personal,246,268,816,116,156,676,718,2,1502,7,0.053
/projects,195,216,608,165,212,548,584,2,1368,7,0.001
/manuscripts,226,244,816,156,204,860,601,446,1827,7,0
/grants,179,200,668,137,180,624,585,446,1188,6,0.241
/deadlines,176,200,1024,106,160,940,744,66,1591,8,3.595
/meetings,288,304,696,110,148,516,571,463,1266,6,1.273
/team,238,264,696,100,128,676,549,2477,3836,5,0
/ideas,170,184,552,181,212,588,565,2,722,5,0
/decisions,175,192,532,115,144,476,573,2,855,8,0
/research-digest,200,252,420,121,180,284,566,2,1001,8,5.405
/calendar,174,188,568,110,148,484,554,2,717,5,0.331
/analytics,208,228,864,107,140,724,909,66,1781,9,0.401
/pi-analytics,195,476,728,149,328,612,695,66,1639,10,0.032
/search,194,212,576,101,136,476,548,2,705,4,0
/settings,227,244,680,121,156,588,556,2477,3263,7,0.778
/activity,178,192,792,172,204,1288,558,2,806,5,1.18
/publications,174,192,608,149,180,656,560,2,1400,3,12.461
